system:index,B4_L9,B5_L9,B6_L9,B7_L9,EVI_L9,NDVI_L9,SAVI_L9,clay_0_5,clay_5_15,sand_0_5,sand_5_15,.geo
1,15013,16158,17921,17065,-0.10161339,0.03673286,0.055098407,230,218,442,440,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.28480931052772,34.9296970374297]}"
2,17747,19278,21389,20212,-0.110441043,0.04135044,0.062024821,224,214,443,442,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.28847979095671,34.931791535920546]}"
3,15909,17171,19271,18497,-0.098882673,0.038149938,0.057224044,229,217,443,442,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.287435055527446,34.92964760735774]}"
4,18125,19720,22354,21594,-0.101763475,0.042145595,0.063217556,232,222,455,457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30071485049141,34.86421782902786]}"
5,17535,19037,21293,20500,-0.10592533,0.04106967,0.061603664,219,228,456,443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.4010563067179,34.86200650934377]}"
6,18077,19746,22246,21522,-0.107995134,0.04412659,0.066189009,221,215,457,455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29967075987531,34.862073962807926]}"
7,18077,19746,22246,21522,-0.107995134,0.04412659,0.066189009,221,215,457,455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29967075987531,34.862073962807926]}"
8,18159,19655,22180,21337,-0.099099099,0.039562065,0.059342316,213,208,460,456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.294095659346674,34.86217931883493]}"
9,17924,19489,22029,21351,-0.102465725,0.04183038,0.062744731,222,215,460,457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30452959340484,34.85981830972407]}"
10,17108,18670,21249,20806,-0.102632167,0.043658115,0.065486256,203,204,460,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40782442771693,34.85781592135941]}"
11,17108,18670,21249,20806,-0.102632167,0.043658115,0.065486256,203,204,460,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40782442771693,34.85781592135941]}"
12,17108,18670,21249,20806,-0.102632167,0.043658115,0.065486256,203,204,460,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40782442771693,34.85781592135941]}"
13,17108,18670,21249,20806,-0.102632167,0.043658115,0.065486256,203,204,460,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40782442771693,34.85781592135941]}"
14,18265,19943,22306,21286,-0.111093456,0.043917503,0.065875394,222,212,460,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29952348704504,34.86856762555066]}"
15,18265,19943,22306,21286,-0.111093456,0.043917503,0.065875394,222,212,460,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29952348704504,34.86856762555066]}"
16,15655,16876,18904,18365,-0.098553579,0.03753343,0.056299279,206,211,461,455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.421932121315656,34.85780606910965]}"
17,15962,17366,19734,19179,-0.100671141,0.04212674,0.063189162,204,207,461,456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.426787076506365,34.855545670768684]}"
18,15962,17366,19734,19179,-0.100671141,0.04212674,0.063189162,204,207,461,456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.426787076506365,34.855545670768684]}"
19,15962,17366,19734,19179,-0.100671141,0.04212674,0.063189162,204,207,461,456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.426787076506365,34.855545670768684]}"
20,17896,19481,21863,21036,-0.106764203,0.042405758,0.063607785,224,217,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.301578163860654,34.85987423303653]}"
21,17896,19481,21863,21036,-0.106764203,0.042405758,0.063607785,224,217,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.301578163860654,34.85987423303653]}"
22,18081,19691,22200,21368,-0.105031053,0.042624164,0.063935403,226,220,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30525337762442,34.86223866126769]}"
23,18081,19691,22200,21368,-0.105031053,0.042624164,0.063935403,226,220,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30525337762442,34.86223866126769]}"
24,17566,19089,21517,20763,-0.103208056,0.041549586,0.062323526,209,203,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29671923967024,34.8621297713318]}"
25,17566,19089,21517,20763,-0.103208056,0.041549586,0.062323526,209,203,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29671923967024,34.8621297713318]}"
26,16316,17938,19783,19324,-0.124625432,0.047352135,0.071027164,200,201,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.429738084154955,34.8554867152205]}"
27,16316,17938,19783,19324,-0.124625432,0.047352135,0.071027164,200,201,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.429738084154955,34.8554867152205]}"
28,16316,17938,19783,19324,-0.124625432,0.047352135,0.071027164,200,201,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.429738084154955,34.8554867152205]}"
29,16158,17607,20250,19760,-0.097068517,0.04291426,0.064370437,205,207,462,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.42121292758705,34.85565683611724]}"
30,17257,18759,20871,20209,-0.109697492,0.041703686,0.062554662,201,199,462,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40414666493707,34.855454705578225]}"
31,17163,18672,20930,20106,-0.106797078,0.04210967,0.063163623,214,206,462,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29481165311452,34.86432943115006]}"
32,16083,17333,19426,18985,-0.098076138,0.03740723,0.056110006,208,212,463,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.403296691576145,34.86006910415707]}"
33,16582,18063,20267,19711,-0.107485521,0.04274787,0.064120881,190,202,464,454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.460583361986444,34.855677521655416]}"
34,16582,18063,20267,19711,-0.107485521,0.04274787,0.064120881,190,202,464,454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.460583361986444,34.855677521655416]}"
35,16582,18063,20267,19711,-0.107485521,0.04274787,0.064120881,190,202,464,454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.460583361986444,34.855677521655416]}"
36,16582,18063,20267,19711,-0.107485521,0.04274787,0.064120881,190,202,464,454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.460583361986444,34.855677521655416]}"
37,17345,18784,21293,20628,-0.097645382,0.0398295,0.059743423,210,212,464,457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.39929104038998,34.85771422420034]}"
38,17457,18856,21035,20272,-0.102375342,0.038526148,0.057788426,223,222,464,462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.28864406391317,34.89040925601046]}"
39,17457,18856,21035,20272,-0.102375342,0.038526148,0.057788426,223,222,464,462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.28864406391317,34.89040925601046]}"
40,16746,18322,20853,20251,-0.104791415,0.044941258,0.067410924,208,211,465,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40033760599224,34.85985713335791]}"
41,16746,18322,20853,20251,-0.104791415,0.044941258,0.067410924,208,211,465,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40033760599224,34.85985713335791]}"
42,17680,19208,21346,20521,-0.109751192,0.041422684,0.062133185,213,220,465,460,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.45841092446856,34.870866255729815]}"
43,17680,19208,21346,20521,-0.109751192,0.041422684,0.062133185,213,220,465,460,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.45841092446856,34.870866255729815]}"
44,17467,19015,21283,20620,-0.108086972,0.042431884,0.063646954,211,211,465,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.4040154704977,34.86221845934146]}"
45,17467,19015,21283,20620,-0.108086972,0.042431884,0.063646954,211,211,465,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.4040154704977,34.86221845934146]}"
