system:index,clay_0_5,clay_5_15,sand_0_5,sand_5_15,.geo
1,213,216,531,527,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.337962659847406,34.90789686892171]}"
2,201,207,532,526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.39703506093996,34.91443734223454]}"
3,223,225,517,518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.339537112409346,34.88391681114524]}"
4,190,195,568,565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.36281125421425,34.89263652721823]}"
5,197,202,485,477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.38712081657507,34.86211904459202]}"
6,230,229,484,476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30198923402512,34.881736936558454]}"
7,208,209,550,549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.41042456159382,34.90571675474184]}"
8,203,215,535,526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.395982522790916,34.91879776677567]}"
9,194,201,521,510,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.405291669656584,34.88609670750246]}"
10,205,213,529,520,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.39985620483364,34.91443734223454]}"
11,175,183,556,546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.39476278250839,34.929699209751384]}"
12,217,221,524,518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.39050866158813,34.9122571626659]}"
13,192,205,540,536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.364038995326325,34.881736936558454]}"
14,224,217,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.301639409312166,34.859939387591304]}"
15,204,215,536,528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.35734254084136,34.88609670750246]}"
16,202,206,488,480,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.39099661200802,34.85775975233738]}"
17,218,231,540,530,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.33496989527892,34.91443734223454]}"
18,176,193,557,536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.418219761134445,34.93187956378482]}"
19,214,207,510,507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.41956450250077,34.87955708373995]}"
