system:index,B2,B3,B4,B5,B6,B7,B8,EVI_S2,IRECI_S2,MCARI_S2,MTCI_S2,NDVI_S2,S2REP_S2,SAVI_S2,clay_0_5,clay_5_15,sand_0_5,sand_5_15,.geo
1,2256,2750,3454,3742,3694,3803,3698,0.081300813,344.52325,-236.8,-0.16666667,0.03411633,683.9678899,0.051170919,230,218,442,440,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.28475585709624,34.92974311839909]}"
2,2482,3172,4224,4342,4300,4479,4588,0.080402898,252.5334,-267.6,-0.3559322,0.041307308,715.0698324,0.061957447,224,214,443,442,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.2884263383791,34.93183761846492]}"
3,2210,2868,3730,4066,4016,4145,4050,0.081168831,409.8967,-279.6,-0.14880952,0.041131105,683.7015504,0.061692693,229,217,443,442,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.287600415587455,34.929689567786006]}"
4,2734,3402,4288,4496,4511,4667,4612,0.082350549,380.26447,-206.8,0.072115384,0.036404494,697.4839744,0.054603674,232,222,455,457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.3005521284612,34.86426598471821]}"
5,2416,3114,4084,4329,4377,4511,4376,0.067837562,431.7346,-204.6,0.19591837,0.034515366,684.2350746,0.05176999,219,228,456,443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.401224197828235,34.862138415645]}"
6,2672,3396,4264,4476,4470,4610,4628,0.089452472,345.5362,-220.8,-0.028301887,0.040935673,696.75,0.061400056,221,215,457,455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.299726672266345,34.86211798045005]}"
7,2672,3396,4264,4476,4470,4610,4628,0.089452472,345.5362,-220.8,-0.028301887,0.040935673,696.75,0.061400056,221,215,457,455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.299726672266345,34.86211798045005]}"
8,2632,3356,4312,4621,4563,4750,4644,0.077015867,432.5025,-299.4,-0.18770227,0.03707012,699.0106952,0.055602077,213,208,460,456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.294039749766625,34.862135298485796]}"
9,2676,3314,4144,4469,4432,4605,4488,0.092642465,457.18326,-260.6,-0.11384615,0.039851714,693.367052,0.059774109,222,215,460,457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30447870889622,34.859954501012915]}"
10,2478,3074,3944,4209,4214,4326,4308,0.096932254,382.4538,-223,0.018867925,0.044110518,680.3125,0.066161769,203,204,460,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.407877764903674,34.8577697903656]}"
11,2478,3074,3944,4209,4214,4326,4308,0.096932254,382.4538,-223,0.018867925,0.044110518,680.3125,0.066161769,203,204,460,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.407877764903674,34.8577697903656]}"
12,2478,3074,3944,4209,4214,4326,4308,0.096932254,382.4538,-223,0.018867925,0.044110518,680.3125,0.066161769,203,204,460,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.407877764903674,34.8577697903656]}"
13,2478,3074,3944,4209,4214,4326,4308,0.096932254,382.4538,-223,0.018867925,0.044110518,680.3125,0.066161769,203,204,460,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.407877764903674,34.8577697903656]}"
14,2702,3338,4280,4574,4588,4680,4684,0.1,401.2243,-236,0.04761905,0.045069166,663.9130435,0.067599978,222,212,460,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29947258959005,34.868703815096254]}"
15,2702,3338,4280,4574,4588,4680,4684,0.1,401.2243,-236,0.04761905,0.045069166,663.9130435,0.067599978,222,212,460,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29947258959005,34.868703815096254]}"
16,2254,2798,3568,3671,3642,3765,3872,0.090735435,195.44374,-197.8,-0.2815534,0.040860213,711.9715447,0.061286204,206,211,461,455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.42198545023621,34.85775993224564]}"
17,2110,2716,3622,3868,3844,4018,3952,0.0836714,393.5429,-249.6,-0.09756097,0.04357011,700.1724138,0.065350848,204,207,461,456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.426733751753346,34.85559180958634]}"
18,2110,2716,3622,3868,3844,4018,3952,0.0836714,393.5429,-249.6,-0.09756097,0.04357011,700.1724138,0.065350848,204,207,461,456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.426733751753346,34.85559180958634]}"
19,2110,2716,3622,3868,3844,4018,3952,0.0836714,393.5429,-249.6,-0.09756097,0.04357011,700.1724138,0.065350848,204,207,461,456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.426733751753346,34.85559180958634]}"
20,2702,3374,4256,4522,4539,4721,4632,0.094911147,466.7481,-216,0.06390978,0.04230423,695.2884615,0.063452776,224,217,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30163407566066,34.85991824983391]}"
21,2702,3374,4256,4522,4539,4721,4632,0.094911147,466.7481,-216,0.06390978,0.04230423,695.2884615,0.063452776,224,217,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30163407566066,34.85991824983391]}"
22,2700,3384,4204,4522,4508,4671,4544,0.089295094,465.55417,-238.8,-0.044025157,0.03886603,689.8619632,0.058295708,226,220,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30530426202684,34.862102469696346]}"
23,2700,3384,4204,4522,4508,4671,4544,0.089295094,465.55417,-238.8,-0.044025157,0.03886603,689.8619632,0.058295708,226,220,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.30530426202684,34.862102469696346]}"
24,2570,3274,4168,4390,4372,4528,4504,0.082047275,358.52393,-237.6,-0.08108108,0.03874539,699.6153846,0.05811473,209,203,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.2968819600919,34.86208162083745]}"
25,2570,3274,4168,4390,4372,4528,4504,0.082047275,358.52393,-237.6,-0.08108108,0.03874539,699.6153846,0.05811473,209,203,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.2968819600919,34.86208162083745]}"
26,2216,2784,3696,3928,3964,4092,4088,0.10160705,399.62933,-200,0.15517241,0.05035971,685.859375,0.075534716,200,201,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.429578115010784,34.85562513528816]}"
27,2216,2784,3696,3928,3964,4092,4088,0.10160705,399.62933,-200,0.15517241,0.05035971,685.859375,0.075534716,200,201,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.429578115010784,34.85562513528816]}"
28,2216,2784,3696,3928,3964,4092,4088,0.10160705,399.62933,-200,0.15517241,0.05035971,685.859375,0.075534716,200,201,461,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.429578115010784,34.85562513528816]}"
29,2178,2776,3742,3915,3975,4106,4074,0.081436421,369.57855,-179.8,0.3468208,0.04247697,691.3740458,0.06371138,205,207,462,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.4211569583356,34.85561287680211]}"
30,2474,3172,4140,4305,4290,4465,4528,0.089698539,323.86758,-238.6,-0.09090909,0.044762343,707.5,0.067139644,201,199,462,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40420524816013,34.85558877005235]}"
31,2464,3078,3894,4081,4095,4196,4288,0.107380355,303.036,-189.4,0.07486631,0.048154484,687.6732673,0.072227314,214,206,462,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.294974379059425,34.86428128301435]}"
32,2262,2874,3792,3883,3890,4021,4144,0.088602497,229.41283,-196.2,0.07692308,0.044354837,709.4083969,0.066528067,208,212,463,458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40312880173409,34.859937200642804]}"
33,2304,2964,3778,4053,4040,4187,4120,0.089914818,407.68814,-228.2,-0.047272727,0.0433021,691.3095238,0.064949041,190,202,464,454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.46063398276114,34.85554127560214]}"
34,2304,2964,3778,4053,4040,4187,4120,0.089914818,407.68814,-228.2,-0.047272727,0.0433021,691.3095238,0.064949041,190,202,464,454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.46063398276114,34.85554127560214]}"
35,2304,2964,3778,4053,4040,4187,4120,0.089914818,407.68814,-228.2,-0.047272727,0.0433021,691.3095238,0.064949041,190,202,464,454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.46063398276114,34.85554127560214]}"
36,2304,2964,3778,4053,4040,4187,4120,0.089914818,407.68814,-228.2,-0.047272727,0.0433021,691.3095238,0.064949041,190,202,464,454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.46063398276114,34.85554127560214]}"
37,2366,2938,3930,4307,4252,4378,4232,0.074990068,442.27908,-317.8,-0.1458886,0.037000734,677.7777778,0.055497703,210,212,464,457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.399456301965856,34.85775603627271]}"
38,2542,3172,4010,4216,4181,4334,4328,0.085263835,321.31024,-236.8,-0.1699029,0.038138643,702.9411765,0.057204533,223,222,464,462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.288590636952776,34.89045533787139]}"
39,2542,3172,4010,4216,4181,4334,4328,0.085263835,321.31024,-236.8,-0.1699029,0.038138643,702.9411765,0.057204533,223,222,464,462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.288590636952776,34.89045533787139]}"
40,2266,2852,3802,4068,4060,4181,4120,0.079995975,378.25467,-249.6,-0.030075189,0.040141378,685.1859504,0.060208268,208,211,465,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.400284263112994,34.859903261253606]}"
41,2266,2852,3802,4068,4060,4181,4120,0.079995975,378.25467,-249.6,-0.030075189,0.040141378,685.1859504,0.060208268,208,211,465,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.400284263112994,34.859903261253606]}"
42,2618,3282,4240,4434,4437,4617,4608,0.088342616,377.25507,-228,0.015463918,0.04159132,703.3472222,0.062383455,213,220,465,460,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.458354925637316,34.87082231491042]}"
43,2618,3282,4240,4434,4437,4617,4608,0.088342616,377.25507,-228,0.015463918,0.04159132,703.3472222,0.062383455,213,220,465,460,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.458354925637316,34.87082231491042]}"
44,2340,3010,3974,4197,4187,4324,4344,0.086944262,349.16608,-245.4,-0.044843048,0.044481847,695.2919708,0.066718759,211,211,465,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40406618944782,34.862082232991106]}"
45,2340,3010,3974,4197,4187,4324,4344,0.086944262,349.16608,-245.4,-0.044843048,0.044481847,695.2919708,0.066718759,211,211,465,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40406618944782,34.862082232991106]}"
46,2340,3010,3974,4197,4187,4324,4344,0.086944262,349.16608,-245.4,-0.044843048,0.044481847,695.2919708,0.066718759,211,211,465,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.40406618944782,34.862082232991106]}"
47,2594,3250,4088,4377,4367,4504,4420,0.087423636,415.0496,-233.4,-0.034602076,0.039022096,686.8613139,0.058529706,198,198,465,463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.4070496340662,34.85562262366002]}"
48,2594,3250,4088,4377,4367,4504,4420,0.087423636,415.0496,-233.4,-0.034602076,0.039022096,686.8613139,0.058529706,198,198,465,463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.4070496340662,34.85562262366002]}"
49,2594,3250,4088,4377,4367,4504,4420,0.087423636,415.0496,-233.4,-0.034602076,0.039022096,686.8613139,0.058529706,198,198,465,463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.4070496340662,34.85562262366002]}"
50,2330,2956,3818,4038,4031,4155,4120,0.079024492,336.4158,-222,-0.03181818,0.038044848,692.4395161,0.057063677,203,202,465,464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.41072222234688,34.857803554825324]}"
51,2330,2956,3818,4038,4031,4155,4120,0.079024492,336.4158,-222,-0.03181818,0.038044848,692.4395161,0.057063677,203,202,465,464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.41072222234688,34.857803554825324]}"
52,2208,2760,3618,3877,3904,4039,3964,0.094919346,423.93192,-201.8,0.1042471,0.045634396,685.4259259,0.068447082,200,203,466,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.42292329110958,34.859904800641736]}"
53,2208,2760,3618,3877,3904,4039,3964,0.094919346,423.93192,-201.8,0.1042471,0.045634396,685.4259259,0.068447082,200,203,466,459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.42292329110958,34.859904800641736]}"
54,2568,3256,4200,4599,4588,4725,4556,0.084786129,523.74426,-277.4,-0.027568921,0.040657833,672.9379562,0.06098327,214,210,466,461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.29594731023745,34.85993565123432]}"
55,2216,2708,3458,3817,3838,3983,3830,0.11684885,527.88837,-205,0.058495823,0.05104281,676.637931,0.076558963,206,208,466,463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.417236891450045,34.85992787884902]}"
56,2216,2708,3458,3817,3838,3983,3830,0.11684885,527.88837,-205,0.058495823,0.05104281,676.637931,0.076558963,206,208,466,463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[53.417236891450045,34.85992787884902]}"
